Golfgreen Phase 1,22.49339,88.36227,Golfgreen Phase 1 is a renowned Durga puja in South Kolkata (Calcutta);
19 Pally,22.51273,88.3675,19 Pally is a renowned Durga puja in South Kolkata (Calcutta);
68 Pally,22.52744,88.34618,68 Pally is a renowned Durga puja in South Kolkata (Calcutta);
77 Palli,22.50667,88.3682,77 Palli is a renowned Durga puja in South Kolkata (Calcutta);
Abasarika Club,22.50839,88.36927,Abasarika Club is a renowned Durga puja in South Kolkata (Calcutta);
Bakul Bagan Sarbojanin,22.52664,88.34825,Bakul Bagan Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Haridevpur Adarsha Samiti,22.47584,88.33693,Haridevpur Adarsha Samiti is a renowned Durga puja in South Kolkata (Calcutta);
Hindustan Club,22.52014,88.36125,Hindustan Club is a renowned Durga puja in South Kolkata (Calcutta);
Manoharpukur Youngs,22.51868,88.35621,Manoharpukur Youngs is a renowned Durga puja in South Kolkata (Calcutta);
Padmapukur Youth Association,22.53161,88.35234,Padmapukur Youth Association is a renowned Durga puja in South Kolkata (Calcutta);
Padmapukur Baroyari,22.53186,88.35429,Padmapukur Baroyari is a renowned Durga puja in South Kolkata (Calcutta);
Park Circus - Uddipani,22.54414,88.37005,Park Circus - Uddipani is a renowned Durga puja in South Kolkata (Calcutta);
Triangular Park Sarbojanin,22.51797,88.35796,Triangular Park Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Sitalatala Kishore Sangha,22.48119,88.32196,Sitalatala Kishore Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Prasanta Disha Sarbojanin,22.49921,88.32764,Prasanta Disha Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Yubak Brinda,22.48438,88.30654,Barisha Yubak Brinda is a renowned Durga puja in South Kolkata (Calcutta);
Aikya Sammilani,22.50442,88.31861,Aikya Sammilani is a renowned Durga puja in South Kolkata (Calcutta);
Khidderpore 75 Palli,22.54005,88.32571,Khidderpore 75 Palli is a renowned Durga puja in South Kolkata (Calcutta);
Khidderpore Milan Sangha,22.54064,88.3235,Khidderpore Milan Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Nabarag,22.54163,88.32083,Nabarag is a renowned Durga puja in South Kolkata (Calcutta);
Khidderpore Udayan,22.54512,88.32148,Khidderpore Udayan is a renowned Durga puja in South Kolkata (Calcutta);
Khidderpore Sarbojanin,22.53814,88.3251,Khidderpore Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Durgabari,22.52719,88.3694,Durgabari is a renowned Durga puja in South Kolkata (Calcutta);
Lake Garden's People Association- Bangur Park,22.50646,88.35646,Lake Garden's People Association- Bangur Park is a renowned Durga puja in South Kolkata (Calcutta);
Kalighat Milan Sangha,22.52442,88.34111,Kalighat Milan Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Saradia Sammilani,22.51104,88.3442,Saradia Sammilani is a renowned Durga puja in South Kolkata (Calcutta);
